ITEM LIST,,,,,,,,,,,,,,
RICE,,,,,,,,,,,,,,
Date,14-03-2026,,,,,,,,,,,,,
SL,Item Code,Barcode,DM Barcode,HS Code,Item Name,Brand,Blend,Grain Type,Variant,Process Type,COO,Unit,,
,,,,,,,,,,,,,,
1,1-RH1-01A-0009,1031111001005,DM36050630715139903,1006:3010,Rice - Najm Suhail - 20 Kg,Najm Suhail,100%,Basmati,1121,Steam,Pakistan,20,,
2,1-RH1-01A-0010,1021111004007,DM36050630715182225,1006:3010,Rice - Najm Suhail - 10 Kg,Najm Suhail,100%,Basmati,1121,Steam,Pakistan,10,,
3,1-RH1-01A-0026,1021111003000,,10063092,Rice - Najm Suhail - 5 Kg,Najm Suhail,100%,Basmati,1121,Steam,India,5,,
4,1-RH1-01A-0070,6298042350298,,10063092,Rice - Najm Suhail Premium Quality 5 Kg Promo,Najm Suhail,100%,Basmati,1121,Steam,India,5,,
5,1-RH1-01A-0045,12601412425,DM360506307151093797,1006:3010,Rice - Najm Suhail - 2 Kg,Najm Suhail,100%,Basmati,1121,Steam,India,2,,
6,1-RH1-01A-0044,12601412424,DM360506307151094135,1006:3010,Rice - Najm Suhail - 1 Kg,Najm Suhail,100%,Basmati,1121,Steam,India,1,,
7,1-RH1-01A-0042,8966523215425,DM36050630189765033,1006:3010,Rice - Najm Suhail - 25 Kg,Najm Suhail,100%,Basmati,1121,Steam,Pakistan,25,,
8,1-RH1-01A-0028,1031116654657,,N/A,Rice - Najm Suhail - 20 Kg +5 Kg,Najm Suhail,100%,Basmati,1121,Steam,India,25,,
9,1-RH1-01A-0016,1021111258967,,1006:3010,Rice - Melyar 10 Kg,Melyar,100%,Basmati,1121,Steam,Pakistan,10,,
10,1-RH1-01A-0081,0322832412128,,1006:3010,Rice - Melyar 25 Kg,Melyar,100%,Basmati,1121,Steam,Pakistan,25,,
11,1-RH1-01A-0021,5511100299980,,10063020,Rice - Al Bassam - 39 Kg,Bassam,80/20,Basmati,1401,Steam,India,39,,
12,1-RH1-01A-0065,6298042350137,,N/A,Rice - Al Bassam Long Grain Steam Basmati Rice 5 Kg,Bassam,80/20,Basmati,1401,Steam,India,5,,
13,1-RH1-01A-0066,6298042350120,,N/A,Rice - Al Bassam Long Grain Steam Basmati Rice 10 Kg,Bassam,80/20,Basmati,1401,Steam,India,10,,
